word,rating,tag,photos
parkland,4.04,concrete,"['52660700199_eb4b3416de_c.jpg', '5784993262_9d46748afa_c.jpg', '52886356153_da43c37b15_c.jpg', '49892013773_2298bd9522_c.jpg', '1516571243_a91ea9a977_c.jpg', '52799442808_5597906941_c.jpg', '51334417193_6bfbc0173d_c.jpg', '6257932145_9b07ece2ca_c.jpg', '38714621925_3f2f4bf3aa_c.jpg', '111866094_2d1702da51_c.jpg', '8650097426_c63511827e_c.jpg', '6052134069_6dc6b9f6ee_c.jpg']"
landslide,4.36,concrete,"['5775777734_fb81c551de_c.jpg', '5459865572_64001cdd7d_c.jpg', '5524131825_f60d5fcbeb_c.jpg', '2552063560_b9d97b1e4e_c.jpg', '246414839_153f637cfb_c.jpg', '4078252074_44bd8be969_c.jpg', '7044793847_deea4c81f2_c.jpg', '5726674697_9cd3fe71f8_c.jpg', '15684735_352e27bce6_c.jpg']"
foothill,4.38,concrete,"['22704193236_d674b1c65c_c.jpg', '23438587296_95ddc47faf_c.jpg', '14756856067_a32da4a36b_c.jpg', '30868979730_edcf8ba57d_c.jpg', '28712652700_36e3d48d96_c.jpg', '19440324279_78b82d2764_c.jpg', '8375011844_3247df233c_c.jpg', '27347040262_9f816d3246_c.jpg', '28270971592_387c4fecdb_c.jpg', '29492593224_3a5d7d475b_c.jpg', '21181655394_ef17a1284d_c.jpg', '26181238814_3443d129bd_c.jpg']"
thread,4.83,concrete,"['53373175955_b244283b79_c.jpg', '43495667605_d9605d1edc_c.jpg', '43690764424_ae4907dfc2_c.jpg', '49855577148_a85c9d76a5_c.jpg', '53031041925_85cf7555db_c.jpg', '51967972587_88ddc3c1aa_c.jpg', '13925550545_4ca12904dd_c.jpg', '24881507825_16c39a0bc1_c.jpg', '43670939204_a940c3f8fe_c.jpg', '25495113192_bde8621d3f_c.jpg']"
cubicle,4.83,concrete,"['2831256981_5ce37eab99_c.jpg', '4164251472_5850e06585_c.jpg', '6838515291_0c0899e7b6_c.jpg', '4059290147_a4d9181e72_c.jpg', '3806866329_6e26cb5bcf_c.jpg', '499375882_004f6e9c07_c.jpg', '2432989812_8613851530_c.jpg', '763979949_9124dcdcc4_c.jpg', '2299983049_7d68c3709f_c.jpg', '3129445298_fbcbcb0f19_c.jpg']"
massage,4.18,concrete,"['44086236532_80c8451f41_c.jpg', '45336748274_6c6d1a4f9e_c.jpg', '14917715337_a0f95b856e_c.jpg', '5921475393_fd7de558a5_c.jpg', '395206061_c917d4675b_c.jpg', '41230915100_93e6ee00bf_c.jpg', '5559760089_08fe97001c_c.jpg', '35731646931_9385621c01_c.jpg', '50342639606_15eacf44c5_c.jpg', '9234877623_494b762a4d_c.jpg']"
footwear,4.66,concrete,"['7471807058_7100b81a68_c.jpg', '7471797942_8e01fb33f8_c.jpg', '5024773111_ef18da0e4c_c.jpg', '7471808670_6f16208230_c.jpg', '5024771629_ffff91f369_c.jpg', '7471803370_4b96cbfe73_c.jpg', '7471805494_83d0e008c5_c.jpg']"
glass,4.82,concrete,"['9073755473_11ab5a4a20_c.jpg', '2245430643_a2e8092cef_c.jpg', '7213932154_4bf12ff9c1_c.jpg', '21031660743_1e48030ccc_c.jpg', '3152178745_34a6d2bbf0_c.jpg', '4125808313_d5330e6e2e_c.jpg', '16482070536_134ddab7de_c.jpg', '5359459935_6e2ac35f2a_c.jpg', '7283590140_643dd40124_c.jpg']"
insulation,4.33,concrete,"['3266679252_2bb23a9824_c.jpg', '1572330972_97867e9855_c.jpg', '9262944793_459888bd36_c.jpg', '3527525287_af70387758_c.jpg', '195454132_a4dbf9cda3_c.jpg', '3481716440_23560d89d5_c.jpg', '189018376_933ecb067e_c.jpg', '3054737258_fbb8ac6d55_c.jpg', '3139839206_5c4dd421bc_c.jpg']"
incision,4.07,concrete,"['51523632699_da94e86058_c.jpg', '51805265995_44ca7d4038_c.jpg', '23925110742_f294e22602_c.jpg', '448296603_3847713fb5_c.jpg', '633211645_ff869b35d1_c.jpg', '7031166953_560fe9e89e_c.jpg', '32329768408_553e8b2987_c.jpg', '6260084298_698ba7e42a_c.jpg', '2689753360_4e9f2c12f8_c.jpg', '4778338657_71be5f4e51_c.jpg', '49322271241_76fc3c2e32_c.jpg', '147773108_9a34471e8b_c.jpg']"
rectum,4.92,concrete,"['2422499829_09c5c2190d_c.jpg', '5824593295_f3b7c6701b_c.jpg', '8254272704_5149617a6a_c.jpg', '14540018995_560e3e0bbf_c.jpg', '6129925785_6c91d5eba2_c.jpg']"
shortbread,4.56,concrete,"['4865568700_fa299bac37_c.jpg', '52635903108_0c02191e7c_c.jpg', '14333124070_7c81f97d3f_c.jpg', '24642475942_b53717d0d9_c.jpg', '15227142949_8f0ff8c961_c.jpg', '3420796050_3f8271d327_c.jpg', '50998613879_b0e85fb1c8_c.jpg', '4340637567_95b609edd8_c.jpg', '3069174565_c8a06962a0_c.jpg', '6505944675_c3b7ef0ca8_c.jpg', '7858317840_72fc59e10c_c.jpg', '5569339033_098aec20c2_c.jpg']"
shipmaster,4.33,concrete,"['49656833702_480afeb1b7_c.jpg', '50853644828_94d10c2957_c.jpg', '13161974153_f545eb9c63_c.jpg', '52266284378_f26b9aa61b_c.jpg', '49655614213_42c280c675_c.jpg', '49709662383_b07b1931a5_c.jpg', '49656554826_b17fe5996d_c.jpg', '50854525646_143de81c29_c.jpg', '49656823737_f1163cb54e_c.jpg', '41269677854_f68208a68c_c.jpg', '27871237590_7c24495cc7_c.jpg']"
teen,4.16,concrete,"['7262997866_d968c611f7_c.jpg', '52949006677_d9e862c1c0_c.jpg', '5827984474_8ce7dd26f7_c.jpg', '9702830856_7b40e934ea_c.jpg', '5827984450_0f3229d924_c.jpg', '3009648642_b58b861b0c_c.jpg', '6907979098_d759bee956_c.jpg', '5827984462_b1261967c2_c.jpg', '29701173277_4eac8e0e30_c.jpg', '2945447309_5a58716699_c.jpg']"
grater,4.52,concrete,"['52595878263_1f86fa4bdc_c.jpg', '447605211_df3402c499_c.jpg', '49849110777_8fb2046cd3_c.jpg', '52367485752_68aa832c38_c.jpg', '49853893682_8c9b8ec152_c.jpg', '49961090408_fb09cb4e19_c.jpg', '46138983185_fbef1c16e6_c.jpg', '4737000_1fd0bb67ac_c.jpg', '3034385050_3a8e251df4_c.jpg', '51787148841_0633acb8a8_c.jpg', '2654535342_a30880a90f_c.jpg']"
hill,4.93,concrete,"['18795217173_39e0b63304_c.jpg', '26181979455_e57742f601_c.jpg', '17171269208_b1c971772e_c.jpg', '24549274240_a29ac85439_c.jpg', '14003437278_263ff93c90_c.jpg', '3557842515_166f19f44b_c.jpg', '3183763085_b9ec7258f3_c.jpg', '7194086820_b1d58bf704_c.jpg', '4666485839_42e2ebb3fc_c.jpg', '5162438838_0d6b4b0909_c.jpg', '31303760471_961a5642ee_c.jpg', '4644940465_fbf8f2ed4c_c.jpg']"
unicyclist,4.14,concrete,"['2393383427_390625f6c8_c.jpg', '5618004530_b1fa7d0f0c_c.jpg', '2448745416_23646cf90a_c.jpg', '5661970100_10d7177898_c.jpg', '86261070_15b8aa47d5_c.jpg', '47195621072_df61991df1_c.jpg', '3281710391_3d45562514_c.jpg', '607161067_e6e22eda43_c.jpg', '607169237_8b539914bb_c.jpg', '50958989157_882be57bb5_c.jpg']"
dive,4.03,concrete,"['9630707045_ac164553dd_c.jpg', '1854092594_0f658419b0_c.jpg', '10060991446_363c485a64_c.jpg', '3613811178_537febdea9_c.jpg', '51729226561_e5d15db060_c.jpg', '8508319851_cc3548ccff_c.jpg', '8509427430_823801b3c2_c.jpg', '36416679803_a20c4d93ee_c.jpg', '159568999_cc520186bd_c.jpg', '1324172276_0c1f8a7569_c.jpg']"
trapdoor,4.56,concrete,"['1296883974_fbc264493c_c.jpg', '39149895234_d668c17549_c.jpg', '8135082671_cef74a654e_c.jpg', '47510982182_ec49fe18f9_c.jpg', '48640286097_bffa116ac1_c.jpg', '1223140221_72a734c846_c.jpg', '48264940212_a632bd53e1_c.jpg', '338675689_0cafd7d593_c.jpg', '3743081979_08ab12b0af_c.jpg', '67795242_41fbf7a5f6_c.jpg']"
cub,4.67,concrete,"['4871007552_18344cd184_c.jpg', '51206932757_3d62e99276_c.jpg', '28433635743_96ec4c3115_c.jpg', '39949614601_04c3a2de82_c.jpg', '50783627163_c5394fe2f0_c.jpg', '50612901963_c4d9666675_c.jpg', '12923983525_d4356fdff3_c.jpg', '51271703642_68e631752f_c.jpg', '777949406_a0f98dae3d_c.jpg', '53042098862_c96eff8173_c.jpg', '5018673066_b40f5a0cd2_c.jpg']"
rock,4.91,concrete,"['26804798344_dfffa941a3_c.jpg', '4133088597_90cae9cfb0_c.jpg', '6897534897_8ae7ed6c2a_c.jpg', '15358386915_3d5d4b9ed7_c.jpg', '37957684281_01bae430ab_c.jpg', '4602413834_5de797cb9c_c.jpg', '41698111974_66060f51d6_c.jpg', '43251408310_68ab65396c_c.jpg', '41863415871_69c421c2cf_c.jpg', '28926140762_5434bbb990_c.jpg', '43678388695_c7681ba25d_c.jpg', '37994503941_b495b28b3d_c.jpg']"
tentacle,4.46,concrete,"['51703616297_43bd6d5799_c.jpg', '51631329245_f7b2070057_c.jpg', '5747665277_9a3ba079ca_c.jpg', '40475743660_c9d3b3427b_c.jpg', '48640241081_6b1a551e01_c.jpg', '15811232457_36ff2748e5_c.jpg', '19527993925_1c6f2bfa84_c.jpg', '24771627442_a0746287f8_c.jpg', '51954664994_e77415be08_c.jpg', '2745745305_492e390386_c.jpg', '33277445242_2144d086ed_c.jpg', '50650573362_408d2f99d7_c.jpg']"
minstrel,4.11,concrete,"['52380092563_8ce0a50ae4_c.jpg', '45374069054_5b31237a48_c.jpg', '6178266001_2eb0e1944b_c.jpg', '32563709104_c730f02483_c.jpg', '226370932_b8b4129959_c.jpg', '5225906715_f47e14b463_c.jpg', '50573036_2dd6a30953_c.jpg', '9384013943_6beffd0a98_c.jpg', '174390326_a2b2637a6b_c.jpg', '3461234556_a2e352e977_c.jpg', '8297535432_0eb16624bb_c.jpg', '2925003708_03ab030c2d_c.jpg']"
capital,4.1,concrete,"['13916128761_56c612a362_c.jpg', '273692105_ea3a4759a0_c.jpg', '534166736_c9d1b4af92_c.jpg', '5978292830_edbf4328cd_c.jpg', '6290995940_69abb36523_c.jpg', '63823738_385955b3c3_c.jpg', '50099660816_c596e19448_c.jpg', '49798656617_68354b4eb8_c.jpg', '50619835498_ec258ebe14_c.jpg', '3478529102_2cfe68ba92_c.jpg', '49989433902_97528e465b_c.jpg', '3822118898_abe39389e0_c.jpg']"
bumper,4.96,concrete,"['30055473812_b5aec95218_c.jpg', '17189800281_e649b251d2_c.jpg', '19556248341_b05c8347c8_c.jpg', '22419510715_3e27d06d78_c.jpg', '5552012067_5f1728870d_c.jpg', '53107927843_582785abf6_c.jpg', '33685268294_fe367a4e96_c.jpg', '50505721201_83376a6dbd_c.jpg', '51294117690_4a6e147a0f_c.jpg', '7077156111_cce7a681f7_c.jpg']"
brush,4.54,concrete,"['49608136717_f8fdb91e60_c.jpg', '49608349197_72f12914f7_c.jpg', '53080780619_b41c141ddf_c.jpg', '49609660746_9f8b25777a_c.jpg', '49604536428_b0a3c2db08_c.jpg', '49610270331_53359c95cc_c.jpg', '21193421818_97ce1fc812_c.jpg', '49607105572_f922a38215_c.jpg', '49608252142_187a346c3b_c.jpg', '383957574_2a346e71fa_c.jpg', '49607558953_58fed87aa7_c.jpg', '4383832588_f8ddd42c7b_c.jpg']"
box,4.9,concrete,"['6439082447_e373274dd9_c.jpg', '5946031820_e9f9c2bd79_c.jpg', '5946034584_0c12560ae8_c.jpg', '5946035098_bfe5483d52_c.jpg', '5946032684_67139ef5c6_c.jpg', '1438355211_18bfe15238_c.jpg', '22657253693_6b09e07094_c.jpg', '33623115748_b5dfd7f29e_c.jpg', '50587479823_8f475a92bb_c.jpg', '34925944082_0a41bea72c_c.jpg', '8501122204_d86f0a5f72_c.jpg']"
webdeveloper,4.19,concrete,"['5576039227_208913254f_c.jpg', '35430304503_650ba24437_c.jpg', '52422315409_429201b41c_c.jpg', '27240674510_a90dafae9f_c.jpg', '31273254507_41195c5e47_c.jpg', '52419998489_bb513e3df1_c.jpg', '14188823572_3dc16163db_c.jpg', '210191761_32b0652e9d_c.jpg']"
bunion,4.64,concrete,"['5794162254_43548c2bbc_c.jpg', '40163536860_11eebb28de_c.jpg', '18066729893_5d0dc997df_c.jpg', '3486843757_70bb619d92_c.jpg', '3044289033_43372833d4_c.jpg', '3044308969_545396d725_c.jpg', '3045134578_e1a205a1e5_c.jpg', '3045129228_0c2b1bc68e_c.jpg', '3045146558_f3c5a4d16c_c.jpg', '3045144320_ba008ddfdc_c.jpg']"
badger,4.37,concrete,"['52777275051_5d932776c4_c.jpg', '51302055802_38f3ddb328_c.jpg', '52948687723_40813d1803_c.jpg', '51261152556_d9eed3870c_c.jpg', '51792869033_fa8a4ab253_c.jpg', '52501565177_f54d0a0723_c.jpg', '52409144214_2c81755bd9_c.jpg', '49053707073_f76ab609b0_c.jpg', '52191663975_910ae1bb7d_c.jpg', '52787874196_fc4d71413a_c.jpg', '52432106734_ddc9c6b18c_c.jpg', '50269236177_737b3a26bf_c.jpg']"
rollercoaster,4.81,concrete,"['140387921_596eb9f9be_c.jpg', '49836362892_53ff7bdd7c_c.jpg', '21738499086_4c24374d78_c.jpg', '15523476035_ab0ce9424b_c.jpg', '2772150239_97eb28bc7d_c.jpg', '73147599_6ede49b863_c.jpg', '414144927_cfc88a8fd3_c.jpg', '49561614272_a3ff3a6b28_c.jpg', '22724846693_0e8191fee1_c.jpg', '30188491815_edcd9a8613_c.jpg', '26991909554_c3cdd0ef2d_c.jpg', '29559706913_c4ceb71083_c.jpg']"
gashouse,4.72,concrete,"['50300141323_20e23679f1_c.jpg', '5219765760_d7d6261dda_c.jpg', '631529532_95ff202f70_c.jpg', '32517712077_e348b5f633_c.jpg', '8499562262_8274faaa3b_c.jpg', '3460159790_d2ccca1c14_c.jpg', '3203789934_cbf195328b_c.jpg', '9889152326_2f1298009a_c.jpg', '15443429223_a263069f85_c.jpg', '9889129645_354e1deb4f_c.jpg']"
horserace,4.3,concrete,"['16162150128_eb836a0321_c.jpg', '23421561435_5a3ec291c5_c.jpg', '51357195661_7a27a6f1f1_c.jpg', '52869541839_f8cb16cd77_c.jpg', '27271611693_4fbfdbbdef_c.jpg', '684044463_3348664ac5_c.jpg', '684901700_a3b7557840_c.jpg', '31421490158_0f7308c1c7_c.jpg', '48346178387_b3f2da3305_c.jpg', '14253568745_b0298b0283_c.jpg', '3400935620_f34d98f0d6_c.jpg', '14273818535_36c225d024_c.jpg']"
sweatshop,4.07,concrete,"['27966845034_68600cd7b6_c.jpg', '8485701829_b80071f05a_c.jpg', '4616270018_d704c0168b_c.jpg', '2558569786_d853beee45_c.jpg', '5709330762_ae7a80aa45_c.jpg', '2558569710_7e257f3bd6_c.jpg', '53255802_6307ae2b05_c.jpg', '39049295_27aeaeaa70_c.jpg', '3925461765_b088e62f8e_c.jpg', '8486799634_3cc984e5df_c.jpg', '8485722205_7b742be3d8_c.jpg', '2558569740_5bd49a1a6d_c.jpg']"
rumba,4.04,concrete,"['52080983946_5c64866f78_c.jpg', '3048995147_588ded712e_c.jpg', '52172081144_fc39b13bc6_c.jpg', '51949859391_7acbb592d2_c.jpg', '19626013828_509093dee7_c.jpg', '27927069191_7f36ff1b60_c.jpg', '3049837918_38842de840_c.jpg', '3049837188_cb5e422bbe_c.jpg', '2768620784_3c6dd4c059_c.jpg', '21301404070_20b68b4a78_c.jpg']"
deskwork,4.04,concrete,"['5761977764_745abfc92c_c.jpg', '6644291675_0ac1f4f4dd_c.jpg', '4265774722_9988466246_c.jpg', '3758300309_39dd2e18ce_c.jpg', '295846011_f9c3b4f1b0_c.jpg', '18997124382_f3d2519d5b_c.jpg', '5389069573_3b6cb3bc08_c.jpg', '4897079743_4d1cd4c288_c.jpg', '3179740232_e3a90d28de_c.jpg', '4061129653_45f3c9aa9a_c.jpg', '13208421735_692b8b3b05_c.jpg']"
sunburn,4.57,concrete,"['2521592706_7ce65a1806_c.jpg', '2736979773_6f37274620_c.jpg', '2669735461_d5da387bec_c.jpg', '32543066534_ce2801dea7_c.jpg', '51300979786_06c4f64cb0_c.jpg', '5614243369_b8b6ff2104_c.jpg', '28782290470_841186c2f0_c.jpg', '2335563558_48fae1ba2c_c.jpg', '24387695762_a5b428ab0e_c.jpg', '4511638151_a5e075a175_c.jpg']"
anthrax,4.44,concrete,"['8729281719_f8cf3a2822_c.jpg', '34515938645_c1312bdea8_c.jpg', '34515931725_8312330bbe_c.jpg', '34515935385_2eef1b0d2b_c.jpg', '33705437253_7db7dd3cdb_c.jpg', '33705411983_1cca9957e7_c.jpg', '34515943925_3d8acbdc04_c.jpg', '34385470331_acc52c3c16_c.jpg', '33705406083_202ec2b238_c.jpg', '33705442553_8f0d5a390a_c.jpg', '30166505601_a89cfa553f_c.jpg']"
hashish,4.33,concrete,"['5541441249_a6ca11abfc_c.jpg', '31165733947_b072bb454c_c.jpg', '4663720492_c5ecd04eed_c.jpg', '29053146327_1581a9f5d0_c.jpg', '5264622264_487d016ce3_c.jpg', '8008568228_9e075f7ac4_c.jpg', '16850236062_ac244324be_c.jpg', '27039197440_edb22296bb_c.jpg', '4737594431_03a3e84b2d_c.jpg', '8473098199_1fe6b095cc_c.jpg']"
rattler,4.5,concrete,"['52793851637_392ccf7120_c.jpg', '50121045992_7a1b8071ed_c.jpg', '14304351940_f63faa614e_c.jpg', '4691792750_8f8991f61d_c.jpg', '51814779500_9497f5bf2d_c.jpg', '184935723_2cf711dd03_c.jpg', '4457763386_033726c8dc_c.jpg', '4457763466_c5bf2abe63_c.jpg', '3815455473_6a6d3bcf02_c.jpg', '470048162_abd6fc08d0_c.jpg', '3880368155_f12278c897_c.jpg']"
bracelet,4.96,concrete,"['2277984528_10e519a944_c.jpg', '29403061245_2966118d67_c.jpg', '28778708134_4c61507185_c.jpg', '16342531781_6bee1107cb_c.jpg', '7816611666_c54666cae9_c.jpg', '4656263054_475e35cce8_c.jpg', '2277996770_7d6af24bf4_c.jpg', '15258237658_5fbb38d74b_c.jpg', '5282052375_e578378947_c.jpg', '2104389929_fb007f3b89_c.jpg', '8911200725_ce1d69c0c2_c.jpg']"
handball,4.48,concrete,"['37904912594_ac68fc9e8b_c.jpg', '26846177499_61a50d996b_c.jpg', '38622635601_a0d327b50e_c.jpg', '38589907252_9871e581f2_c.jpg', '38622591721_a0bd3aa1f1_c.jpg', '26846199829_29a12bedf2_c.jpg', '26846220969_425bcd3954_c.jpg', '38622566821_810d282d23_c.jpg', '38622576431_f69d6d334c_c.jpg', '38622562971_d51e44020d_c.jpg', '37734384165_1dabb451c8_c.jpg', '38622583361_8e4945eff0_c.jpg']"
twine,4.03,concrete,"['37769183911_dd23b459e1_c.jpg', '26351072244_1a7f4b2a13_c.jpg', '8358802199_6e2fe3b008_c.jpg', '4991520109_de08d5ffee_c.jpg', '3031382726_96bfe25514_c.jpg']"
paleontologist,4.62,concrete,"['1460966687_f6f74fb8ff_c.jpg', '30884563321_003e12e3b1_c.jpg', '52098924856_d4452809bb_c.jpg', '28853718893_0673ccc02b_c.jpg', '289814413_173c5f8984_c.jpg', '28254340698_0c1df10c16_c.jpg', '44724022745_e2ed429fe5_c.jpg', '1278343009_e4b2aa5ae6_c.jpg', '16284320231_9c872cffd9_c.jpg', '2747668947_2277e297d2_c.jpg', '15814180899_d716f68f48_c.jpg']"
fish,5.0,concrete,"['11950139756_ac2335b913_c.jpg', '6895511079_f1b781c9e9_c.jpg', '10404040225_08d6d785c7_c.jpg', '11949308385_99b33201be_c.jpg', '8270961725_7328c5f1c2_c.jpg', '10404045385_bdb0994ca9_c.jpg', '3116716897_ec0945e5e9_c.jpg', '9405820048_28a09cd10c_c.jpg', '25512150434_8dc8241cb2_c.jpg', '18121252129_5c53b4c1e4_c.jpg', '8049578760_baaaf7257b_c.jpg']"
bladder,4.48,concrete,"['52153579029_dc82c7bd86_c.jpg', '3919039320_9492c99d14_c.jpg', '49962012511_7775662982_c.jpg', '45414738105_4d383422c5_c.jpg', '2322416380_f7773fa365_c.jpg', '9616098922_53ffb84866_c.jpg', '34709262526_8a2e86a907_c.jpg', '52175545692_343a9b2c04_c.jpg', '52955196231_59336986b5_c.jpg', '14609926179_c5cb1f1f86_c.jpg']"
beekeeper,4.67,concrete,"['52853805494_b3e76e27e3_c.jpg', '6826458383_9a6cba726f_c.jpg', '75651118_9e69c9969e_c.jpg', '2595171995_cc1bee89c6_c.jpg', '433968064_842ac62c6f_c.jpg', '42224796395_44260b139b_c.jpg', '51137305810_3c4a68086b_c.jpg', '2118438001_b81b878f35_c.jpg', '8337697493_7d0f4e4430_c.jpg', '8387257468_4c11165a26_c.jpg', '7979343795_c1b45f8bf9_c.jpg', '8240911577_567de66b49_c.jpg']"
scrapheap,4.36,concrete,"['52091750765_94e7c0b481_c.jpg', '69103287_d117f9e6b6_c.jpg', '52472570129_841507aa2d_c.jpg', '51300058667_a8efd0107c_c.jpg', '42854347071_13a2f213d4_c.jpg', '36419053582_a611716a8d_c.jpg', '42784022762_3f6126cc07_c.jpg', '371881949_c5e2a52119_c.jpg', '13947470385_efc7fab999_c.jpg', '52696880198_59a146171a_c.jpg', '6290329965_8dc8165ca0_c.jpg']"
gondola,4.92,concrete,"['8118751585_4576ea31b4_c.jpg', '8118741115_4818698655_c.jpg', '8118753170_14ca542288_c.jpg', '21644682651_c47ec1fa8d_c.jpg', '11389298706_53d7985fcc_c.jpg', '8689710445_fb8789d9d7_c.jpg', '17313502316_33460f24fe_c.jpg', '2634489863_0602bc8804_c.jpg', '8016651517_579f94687c_c.jpg', '5865269413_fa9ed2abe6_c.jpg', '2927328032_864098c0b7_c.jpg', '6339660958_a47d369cd9_c.jpg']"
granite,5.0,concrete,"['4711706094_4082bf7cb7_c.jpg', '443523058_c42b44ff14_c.jpg', '15484285557_2a92c52df9_c.jpg', '9763771764_883e7f13b7_c.jpg', '25862014671_51dc2e0851_c.jpg', '8655964831_ebd1933049_c.jpg', '8657068856_67f00978bf_c.jpg', '8655961689_3e6b26639c_c.jpg', '8655960333_fb37861e0f_c.jpg', '8655965075_cf0c1ef6d7_c.jpg', '6735969117_d8ac834dcc_c.jpg']"
panda,4.75,concrete,"['25933765604_72f26ddaf9_c.jpg', '27510591134_1bc4979798_c.jpg', '25800861332_53ac1b3cf4_c.jpg', '3081551018_2c9244beb0_c.jpg', '28090776316_f9f8c042a6_c.jpg', '5255161524_2e992560c5_c.jpg', '14003432508_f460a66df6_c.jpg', '2129982719_32d94154fe_c.jpg', '35920934042_848440035a_c.jpg', '28125059035_bbbc0e3eac_c.jpg', '14290606346_19b53c107e_c.jpg']"
controller,4.33,concrete,"['14110266094_8b3903a4a8_c.jpg', '16167876628_5ee86acc60_c.jpg', '15356390478_a049d5c00f_c.jpg', '3818482450_f1992b7fdd_c.jpg', '1104056542_b803ad08b0_c.jpg', '83125789_2cace2c980_c.jpg', '5932030765_9e3ff726df_c.jpg', '6821429706_5bba82711b_c.jpg', '105790115_286df7215b_c.jpg', '2943648039_f652bf1467_c.jpg']"
